epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,302.812,1.65638,2.60118,1.52103,0.48353,0.42258,0.40357,0.18118,1.52193,9.18933,1.33554,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,589.859,1.69692,1.93085,1.51643,0.45551,0.43758,0.37953,0.16527,1.61907,9.40323,1.439,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097
3,862.492,1.79886,1.96664,1.60708,0.31137,0.31801,0.24393,0.09971,1.78566,7.21102,1.5586,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1134.96,1.82288,1.96539,1.62551,0.5272,0.4566,0.45234,0.20022,1.60106,5.71017,1.4252,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1406.36,1.75746,1.84,1.57977,0.5517,0.4817,0.50337,0.23706,1.4912,5.26072,1.33776,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1676.78,1.7008,1.73767,1.5456,0.60345,0.5098,0.54058,0.26153,1.47008,3.91353,1.32183,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1942.02,1.66157,1.65443,1.52387,0.59133,0.54866,0.56393,0.27673,1.46539,4.38822,1.31507,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2206.92,1.64089,1.59757,1.49713,0.6162,0.56229,0.58591,0.28884,1.41067,4.13383,1.25773,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2474.72,1.60934,1.56181,1.48212,0.6224,0.57367,0.59618,0.29573,1.39896,4.12806,1.24689,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2735.86,1.594,1.53696,1.45943,0.652,0.56327,0.61331,0.31373,1.36854,3.23057,1.23475,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2993.56,1.56895,1.47899,1.44781,0.6739,0.58451,0.63955,0.33125,1.36058,3.0193,1.22859,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3259.26,1.55268,1.46091,1.43799,0.67956,0.60715,0.65089,0.34598,1.31939,2.96073,1.19706,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3523.22,1.53878,1.42071,1.42193,0.66418,0.58802,0.64868,0.348,1.32981,2.25715,1.19494,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3788.04,1.52568,1.40571,1.41417,0.69911,0.5949,0.6738,0.36454,1.31666,2.47036,1.18803,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4057.36,1.51647,1.38324,1.40305,0.69154,0.61018,0.67049,0.3568,1.31794,2.81168,1.17936,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4334.32,1.50346,1.35403,1.39357,0.69117,0.62862,0.6794,0.36977,1.28992,2.04057,1.16706,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4603.64,1.49477,1.32868,1.39042,0.70247,0.62831,0.69164,0.37401,1.2976,2.30872,1.16729,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4875.5,1.48266,1.32077,1.37864,0.69007,0.64076,0.69317,0.38049,1.28533,2.21616,1.16504,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5140.98,1.47113,1.30298,1.37809,0.71428,0.63703,0.69762,0.38366,1.27321,2.111,1.16484,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5404.26,1.46603,1.29716,1.3783,0.73754,0.63549,0.71499,0.39665,1.26395,1.75327,1.14429,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5664.02,1.45132,1.27307,1.36453,0.70092,0.65054,0.70859,0.39512,1.27267,1.8651,1.15213,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5927.5,1.44266,1.25364,1.3567,0.72443,0.64739,0.72025,0.40208,1.25348,1.82702,1.14125,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6193.62,1.43529,1.24324,1.34661,0.71839,0.65184,0.71894,0.40013,1.2512,1.89743,1.14165,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6459.23,1.42157,1.22162,1.33998,0.7262,0.65499,0.72232,0.41175,1.24661,1.71651,1.12809,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6723.22,1.42979,1.21996,1.33803,0.71305,0.67915,0.73113,0.40997,1.24735,1.71689,1.12938,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6989.45,1.41162,1.1975,1.33196,0.73626,0.66359,0.73075,0.41455,1.23603,1.5566,1.12544,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7260.31,1.40452,1.18124,1.32661,0.74509,0.66737,0.7348,0.41793,1.22798,1.62375,1.12849,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7523.66,1.39766,1.17261,1.32223,0.75569,0.66652,0.74349,0.42365,1.22607,1.6149,1.12019,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7802.37,1.39566,1.1682,1.31886,0.73989,0.67852,0.74339,0.42187,1.22873,1.63541,1.11962,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8077.93,1.37728,1.13453,1.30662,0.74765,0.67362,0.74368,0.42401,1.23147,1.71468,1.12781,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8352.55,1.3627,1.12921,1.30044,0.73819,0.68859,0.74938,0.42758,1.22698,1.41096,1.11875,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8626.8,1.36215,1.11698,1.29734,0.77197,0.67195,0.75267,0.43275,1.21346,1.50533,1.11829,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8893.59,1.35221,1.10437,1.29239,0.75093,0.68536,0.75029,0.43089,1.2162,1.59817,1.11098,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9163.07,1.35054,1.09387,1.2934,0.76136,0.68714,0.75517,0.43604,1.21809,1.50635,1.10985,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9435.84,1.34404,1.09206,1.28597,0.74112,0.70074,0.75885,0.43581,1.21139,1.50899,1.10947,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9713.01,1.329,1.06748,1.27708,0.75003,0.70031,0.76075,0.43868,1.21136,1.51119,1.10848,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9989.26,1.32652,1.06155,1.2736,0.7532,0.69654,0.76338,0.44107,1.20975,1.46438,1.10576,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10257.1,1.3248,1.06516,1.26833,0.7591,0.69401,0.76443,0.44293,1.21061,1.38995,1.11069,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10523.6,1.31247,1.03777,1.26602,0.75664,0.69706,0.76502,0.44256,1.20555,1.31722,1.10633,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10795.8,1.30148,1.0154,1.25518,0.77003,0.693,0.76612,0.44421,1.20719,1.28176,1.10739,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
